Data/Hora,Ocupação (Simulada) (%),Iluminação (kWh),Equipamentos (kWh),Climatização (HVAC) (kWh),Consumo Total (kWh),Tarifa (R$/kWh)
2024-01-01 00:00:00,12,0.38518012067132734,1.3599999999999999,0.09,1.8351801206713272,0.8
2024-01-01 01:00:00,9,0.31134901867839104,1.27,0.0675,1.648849018678391,0.8
2024-01-01 02:00:00,8,0.22557340189297334,1.24,0.06,1.5255734018929734,0.8
2024-01-01 03:00:00,6,0.23982075019232216,1.18,0.045,1.464820750192322,0.8
2024-01-01 04:00:00,6,0.34654143798111803,1.18,0.045,1.571541437981118,0.8
2024-01-01 05:00:00,1,0.36703885111414114,1.03,0.0075,1.4045388511141412,0.8
2024-01-01 06:00:00,6,0.42478075492188583,1.18,0.045,1.6497807549218857,0.8
2024-01-01 07:00:00,4,0.23206832970365399,1.12,0.03,1.3820683297036542,0.8
2024-01-01 08:00:00,79,0.34452185202062385,3.37,2.37,6.0845218520206235,0.8
2024-01-01 09:00:00,75,0.42135301208029824,3.25,2.25,5.921353012080298,0.8
2024-01-01 10:00:00,75,0.5342686285781412,3.25,2.25,6.0342686285781415,0.8
2024-01-01 11:00:00,88,0.4562203618643227,3.64,2.64,6.736220361864323,0.8
2024-01-01 12:00:00,98,0.5060699122746808,3.94,2.94,7.38606991227468,0.8
2024-01-01 13:00:00,68,0.3949591001983561,3.04,2.04,5.474959100198356,0.8
2024-01-01 14:00:00,80,0.5517576869090006,3.4000000000000004,2.4000000000000004,6.351757686909002,0.8
2024-01-01 15:00:00,80,0.42676210607312925,3.4000000000000004,2.4000000000000004,6.22676210607313,0.8
2024-01-01 16:00:00,81,0.4735424270038603,3.43,2.43,6.333542427003861,0.8
2024-01-01 17:00:00,76,0.6093803297820488,3.2800000000000002,2.2800000000000002,6.169380329782049,0.8
2024-01-01 18:00:00,77,0.7562687747595628,3.31,2.31,6.376268774759563,0.8
2024-01-01 19:00:00,6,0.2631563266123756,1.18,0.045,1.4881563266123754,0.8
2024-01-01 20:00:00,7,0.26288827124892244,1.21,0.052500000000000005,1.5253882712489224,0.8
2024-01-01 21:00:00,7,0.24047581897643416,1.21,0.052500000000000005,1.5029758189764342,0.8
2024-01-01 22:00:00,7,0.25639628071594034,1.21,0.052500000000000005,1.5188962807159403,0.8
2024-01-01 23:00:00,1,0.25309412028651146,1.03,0.0075,1.2905941202865117,0.8
2024-01-02 00:00:00,2,0.27109648340286774,1.06,0.015,1.3460964834028677,0.8
2024-01-02 01:00:00,13,0.39852248868721263,1.3900000000000001,0.0975,1.8860224886872128,0.8
2024-01-02 02:00:00,8,0.28366357244903323,1.24,0.06,1.5836635724490333,0.8
2024-01-02 03:00:00,6,0.23632233005533193,1.18,0.045,1.4613223300553317,0.8
2024-01-02 04:00:00,0,0.37041425268600014,1.0,0.0,1.3704142526860001,0.8
2024-01-02 05:00:00,10,0.3841119505963103,1.3,0.07500000000000001,1.7591119505963102,0.8
2024-01-02 06:00:00,7,0.3447448941639708,1.21,0.052500000000000005,1.6072448941639708,0.8
2024-01-02 07:00:00,8,0.28263125489844154,1.24,0.06,1.5826312548984416,0.8
2024-01-02 08:00:00,96,0.5626472236132593,3.88,2.88,7.322647223613259,0.8
2024-01-02 09:00:00,96,0.7194794762807126,3.88,2.88,7.479479476280712,0.8
2024-01-02 10:00:00,83,0.8743073805167163,3.4899999999999998,2.4899999999999998,6.854307380516715,0.8
2024-01-02 11:00:00,83,0.37964620358148443,3.4899999999999998,2.4899999999999998,6.359646203581484,0.8
2024-01-02 12:00:00,86,0.46007401995095654,3.58,2.58,6.620074019950957,0.8
2024-01-02 13:00:00,75,0.5419911444373477,3.25,2.25,6.041991144437348,0.8
2024-01-02 14:00:00,73,0.5909598033842248,3.19,2.19,5.970959803384225,0.8
2024-01-02 15:00:00,76,0.6169023947474606,3.2800000000000002,2.2800000000000002,6.1769023947474615,0.8
2024-01-02 16:00:00,71,0.7863995127116751,3.13,2.13,6.046399512711675,0.8
2024-01-02 17:00:00,99,0.6276229935175723,3.9699999999999998,2.9699999999999998,7.567622993517571,0.8
2024-01-02 18:00:00,79,0.3375555191580941,3.37,2.37,6.0775555191580946,0.8
2024-01-02 19:00:00,12,0.32958419930220795,1.3599999999999999,0.09,1.779584199302208,0.8
2024-01-02 20:00:00,12,0.3177840344126791,1.3599999999999999,0.09,1.767784034412679,0.8
2024-01-02 21:00:00,9,0.3306555220163405,1.27,0.0675,1.6681555220163404,0.8
2024-01-02 22:00:00,12,0.3188537801879068,1.3599999999999999,0.09,1.7688537801879067,0.8
2024-01-02 23:00:00,4,0.25173338143597374,1.12,0.03,1.4017333814359738,0.8
2024-01-03 00:00:00,1,0.28559777290924115,1.03,0.0075,1.3230977729092412,0.8
2024-01-03 01:00:00,10,0.26614969376221065,1.3,0.07500000000000001,1.6411496937622105,0.8
2024-01-03 02:00:00,12,0.34694820990315245,1.3599999999999999,0.09,1.7969482099031524,0.8
2024-01-03 03:00:00,12,0.30228203932772635,1.3599999999999999,0.09,1.7522820393277263,0.8
2024-01-03 04:00:00,12,0.42336069694075107,1.3599999999999999,0.09,1.873360696940751,0.8
2024-01-03 05:00:00,7,0.41674910680688626,1.21,0.052500000000000005,1.6792491068068862,0.8
2024-01-03 06:00:00,7,0.2265801620099744,1.21,0.052500000000000005,1.4890801620099743,0.8
2024-01-03 07:00:00,6,0.39910292530606417,1.18,0.045,1.624102925306064,0.8
2024-01-03 08:00:00,62,0.6470788833949779,2.86,1.8599999999999999,5.367078883394978,0.8
2024-01-03 09:00:00,86,0.5754841654631471,3.58,2.58,6.735484165463147,0.8
2024-01-03 10:00:00,60,0.7179429347193909,2.8,1.7999999999999998,5.31794293471939,0.8
2024-01-03 11:00:00,65,0.5856626832689215,2.95,1.9500000000000002,5.485662683268922,0.8
2024-01-03 12:00:00,81,0.5608138913128934,3.43,2.43,6.420813891312894,0.8
2024-01-03 13:00:00,91,0.7202406712805942,3.73,2.73,7.180240671280595,0.8
2024-01-03 14:00:00,97,0.6532483170421205,3.91,2.91,7.4732483170421204,0.8
2024-01-03 15:00:00,92,0.631527505697438,3.7600000000000002,2.7600000000000002,7.151527505697439,0.8
2024-01-03 16:00:00,80,0.8901689587569788,3.4000000000000004,2.4000000000000004,6.6901689587569795,0.8
2024-01-03 17:00:00,86,0.7455030037949968,3.58,2.58,6.905503003794997,0.8
2024-01-03 18:00:00,82,0.6185800276421011,3.46,2.46,6.538580027642101,0.8
2024-01-03 19:00:00,2,0.23601292177105823,1.06,0.015,1.3110129217710582,0.8
2024-01-03 20:00:00,13,0.31895120357320605,1.3900000000000001,0.0975,1.806451203573206,0.8
2024-01-03 21:00:00,9,0.288946481358317,1.27,0.0675,1.6264464813583168,0.8
2024-01-03 22:00:00,6,0.281794067150612,1.18,0.045,1.506794067150612,0.8
2024-01-03 23:00:00,7,0.33565277832130425,1.21,0.052500000000000005,1.5981527783213043,0.8
2024-01-04 00:00:00,3,0.3720643031716804,1.09,0.0225,1.4845643031716804,0.8
2024-01-04 01:00:00,4,0.32750099634366336,1.12,0.03,1.4775009963436634,0.8
2024-01-04 02:00:00,3,0.2732430087707347,1.09,0.0225,1.3857430087707348,0.8
2024-01-04 03:00:00,9,0.2864636432557527,1.27,0.0675,1.6239636432557525,0.8
2024-01-04 04:00:00,14,0.2812538773091302,1.42,0.10500000000000001,1.8062538773091301,0.8
2024-01-04 05:00:00,4,0.3093215832782804,1.12,0.03,1.4593215832782807,0.8
2024-01-04 06:00:00,14,0.22670578472142808,1.42,0.10500000000000001,1.751705784721428,0.8
2024-01-04 07:00:00,6,0.3491885045662182,1.18,0.045,1.574188504566218,0.8
2024-01-04 08:00:00,88,0.3879421960606495,3.64,2.64,6.66794219606065,0.8
2024-01-04 09:00:00,81,0.9042252291499109,3.43,2.43,6.764225229149911,0.8
2024-01-04 10:00:00,86,0.7908072572282553,3.58,2.58,6.950807257228256,0.8
2024-01-04 11:00:00,95,0.5892902912489568,3.8499999999999996,2.8499999999999996,7.289290291248956,0.8
2024-01-04 12:00:00,96,0.7763067630485305,3.88,2.88,7.53630676304853,0.8
2024-01-04 13:00:00,65,0.7361564499540448,2.95,1.9500000000000002,5.636156449954045,0.8
2024-01-04 14:00:00,81,0.8929010576138735,3.43,2.43,6.752901057613874,0.8
2024-01-04 15:00:00,73,0.7129885372822458,3.19,2.19,6.092988537282245,0.8
2024-01-04 16:00:00,88,0.673410309204923,3.64,2.64,6.953410309204923,0.8
